Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Imported Analog EMG - Voltage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Sub Frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,0,0.0133133,-0.00404358,0.0493622,0.0261688,-0.0180435,-0.00656128,0.0037384,0.00984192,-0.0025177,0.00598907,-0.0082016,-0.0151443,-0.0113297,-0.00606537,-0.0214386,-0.0173187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,1,0.00476837,-0.0165939,0.0414658,0.0259018,-0.0107956,-0.00743866,0.0025177,0.00911713,-0.00183105,0.00476837,-0.00808716,-0.0149155,-0.0101852,-0.00637054,-0.0220108,-0.0140381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,2,0.00537872,-0.0427628,0.0402451,0.0286102,-0.0130463,-0.00747681,0.00289917,0.00999451,-0.00156403,0.00675201,-0.00900269,-0.0154114,-0.0114059,-0.00686646,-0.0178909,-0.0157166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,3,0.0123978,-0.0293732,0.0400925,0.0271606,-0.0156784,-0.00717163,0.00461578,0.00946045,-0.00152588,0.00537872,-0.00865936,-0.0149918,-0.01091,-0.00675201,-0.0204468,-0.0133133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,4,0.0117111,-0.0205231,0.0419617,0.0242996,-0.0133133,-0.00892639,0.00320435,0.00980377,-0.00118256,0.00686646,-0.0122452,-0.0159073,-0.0111389,-0.00648499,-0.0196457,-0.0108719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,5,0.0111008,-0.0158691,0.0450897,0.0226593,-0.0104141,-0.00762939,0.00255585,0.0104523,-0.00278473,0.00541687,-0.00915527,-0.0151443,-0.0111008,-0.00617981,-0.019989,-0.0157166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,6,0.0159454,-0.0037384,0.0453568,0.0263214,-0.0124359,-0.00705719,0.00450134,0.0107574,-0.000724792,0.00663757,-0.00793457,-0.0139236,-0.0107956,-0.00545502,-0.0239182,-0.0152588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,7,0.0167084,-0.00770569,0.0438309,0.0242996,-0.0154114,-0.00900269,0.00320435,0.00915527,-0.001297,0.00553131,-0.00930786,-0.0153351,-0.0115204,-0.00694275,-0.0214005,-0.0185394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,8,0.0151825,-0.00644684,0.042038,0.0252533,-0.0109863,-0.0075531,0.00324249,0.00839233,-0.0019455,0.00621796,-0.0115204,-0.0152588,-0.0106812,-0.00595093,-0.0215149,-0.0153351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,9,0.0110626,-0.00709534,0.0436783,0.0235748,-0.0125504,-0.00610352,0.00400543,0.01091,-0.00183105,0.0069046,-0.0075531,-0.0154877,-0.0106049,-0.00629425,-0.0204849,-0.0146484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,0,0.00766754,-0.00370026,0.0450516,0.0179672,-0.0127792,-0.00728607,0.00282288,0.0112915,-0.00171661,0.0063324,-0.0144958,-0.0153351,-0.0114822,-0.00595093,-0.0207901,-0.0197983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,1,0.0125885,-0.00717163,0.0448608,0.0178146,-0.0127029,-0.00705719,0.00267029,0.010643,-0.00205994,0.00663757,-0.00923157,-0.0144577,-0.0115585,-0.00659943,-0.0212097,-0.0163269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,2,0.00617981,-0.00808716,0.0457764,0.0177383,-0.0142288,-0.00667572,0.0031662,0.0100708,-0.00225067,0.00671387,-0.0069809,-0.0154877,-0.0120926,-0.00583649,-0.0211716,-0.0126648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,3,-0.000152588,-0.00675201,0.0442886,0.0157928,-0.0139236,-0.00659943,0.00362396,0.0122833,-0.0012207,0.00759125,-0.0082016,-0.0167084,-0.00934601,-0.00583649,-0.0204086,-0.0183487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,4,0.0107193,-0.00152588,0.0419235,0.0173187,-0.0123596,-0.00762939,0.00286102,0.00934601,-0.00148773,0.00572205,-0.00427246,-0.0150681,-0.0112915,-0.00621796,-0.018692,-0.0159073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,5,0.0127792,-0.0012207,0.0422287,0.0239563,-0.0117493,-0.00724792,0.00286102,0.0107574,-0.00087738,0.00701904,-0.00858307,-0.0154877,-0.0109863,-0.00549316,-0.0206757,-0.0170135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,6,0.0119019,-0.00930786,0.0410843,0.0247574,-0.012207,-0.00724792,0.00274658,0.0101089,-0.00156403,0.00789642,-0.010376,-0.0152969,-0.01091,-0.00610352,-0.0196075,-0.0156784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,7,0.00694275,-0.0214005,0.0419235,0.0242615,-0.00984192,-0.00724792,0.00366211,0.0101089,-0.00152588,0.00854492,-0.0102997,-0.0154877,-0.0120926,-0.00713348,-0.0212479,-0.0172043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,8,3.81E-05,-0.0193787,0.0403976,0.0225067,-0.0125504,-0.0063324,0.00328064,0.0094986,-0.0031662,0.00717163,-0.013504,-0.0156784,-0.0107956,-0.00663757,-0.0209045,-0.012207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,9,0.0044632,-0.0198364,0.0388718,0.0257874,-0.012207,-0.00682831,0.00286102,0.0105667,-0.00221252,0.00717163,-0.00614166,-0.0147629,-0.0102615,-0.00541687,-0.0203323,-0.0170517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,0,0.0123978,-0.0170517,0.0352859,0.0234985,-0.0109482,-0.00629425,0.00339508,0.00972748,-0.00141144,0.00724792,-0.00476837,-0.0154495,-0.010643,-0.00602722,-0.0215149,-0.0113678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,1,0.00980377,-0.0188446,0.0397873,0.0223541,-0.0136185,-0.0075531,0.00171661,0.00934601,-0.0019455,0.00705719,-0.0106049,-0.0162888,-0.0109482,-0.00652313,-0.0201416,-0.0177383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,2,0.00545502,-0.0198364,0.0375748,0.0204849,-0.0138092,-0.00717163,0.00289917,0.0105667,-0.000991821,0.00644684,-0.00896454,-0.0154495,-0.0114822,-0.00743866,-0.0214386,-0.0164795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,3,0.00087738,-0.0191498,0.0386429,0.0227737,-0.0123215,-0.00793457,0.00278473,0.0105286,-0.00232697,0.0069046,-0.00549316,-0.0153732,-0.0111771,-0.00587463,-0.0196457,-0.0108337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,4,-0.00930786,-0.0193787,0.0355148,0.0234222,-0.0113678,-0.0075531,0.00209808,0.0109863,-0.00190735,0.00606537,-0.0118256,-0.0149155,-0.0104141,-0.00614166,-0.0231171,-0.0212479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,5,-0.0160599,-0.0147629,0.0424957,0.0199509,-0.00808716,-0.0075531,0.00278473,0.0100327,-0.00152588,0.00564575,-0.00976563,-0.0153732,-0.0124741,-0.00602722,-0.0214386,-0.0110245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,6,-0.00923157,-0.0136566,0.0423813,0.019989,-0.0172806,-0.0062561,0.00305176,0.0104904,-0.0012207,0.00972748,-0.00831604,-0.0151062,-0.0107193,-0.00583649,-0.0241852,-0.0160599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,7,-0.00335693,-0.0177765,0.0415039,0.0206375,-0.0114059,-0.00709534,0.00297546,0.00991821,-0.00297546,0.00789642,-0.00339508,-0.0159454,-0.0110626,-0.00576019,-0.0231171,-0.0204849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,8,-0.000419617,-0.0248337,0.0415421,0.0178528,-0.011673,-0.0069046,0.00198364,0.0140762,-0.00125885,0.00789642,-0.010643,-0.0156784,-0.0117111,-0.00679016,-0.0218201,-0.0172424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,9,0.00190735,-0.0278854,0.0416183,0.0202942,-0.0138855,-0.00709534,0.0043869,0.0112915,-0.00110626,0.00839233,-0.00976563,-0.0149918,-0.0110626,-0.00637054,-0.0220871,-0.0144196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,0,0.00511169,-0.022316,0.0444031,0.0197983,-0.0124741,-0.00724792,0.00183105,0.00961304,-0.00202179,0.00694275,-0.0100327,-0.0157928,-0.0111389,-0.00694275,-0.0213242,-0.0161362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,1,0.00408173,-0.0209808,0.0431061,0.0222778,-0.0117111,-0.00778198,0.0012207,0.00972748,-0.00408173,0.00621796,-0.00972748,-0.0162888,-0.0117111,-0.00671387,-0.0216675,-0.0157166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,2,0.00087738,-0.019989,0.0451279,0.0218201,-0.0117493,-0.00709534,0.00404358,0.0112915,-0.0018692,0.00232697,-0.0104141,-0.0154495,-0.0114441,-0.00621796,-0.0230408,-0.0156021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,3,-0.00125885,-0.0221634,0.0371933,0.0220871,-0.0149155,-0.00740051,0.00263214,0.0107193,-0.0019455,0.00793457,-0.0135803,-0.0153732,-0.0115585,-0.00640869,-0.0212097,-0.01297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,4,-0.00236511,-0.0218201,0.042305,0.0249481,-0.0146103,-0.00682831,0.00156403,0.0112152,-0.00232697,0.00904083,-0.00766754,-0.014801,-0.0110245,-0.00621796,-0.0216675,-0.015564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,5,0.00148773,-0.0177383,0.0410843,0.024147,-0.00671387,-0.00770569,0.00404358,0.0105286,-0.00144958,0.0112534,-0.00934601,-0.0150299,-0.0108719,-0.0056076,-0.0214005,-0.0170898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,6,0.00240326,-0.0151443,0.0415421,0.0239182,-0.00907898,-0.00656128,0.00228882,0.0104523,-0.00198364,0.0108719,-0.00904083,-0.0151443,-0.0111389,-0.00576019,-0.0176239,-0.0153351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,7,-0.00221252,-0.0180054,0.042305,0.0240326,-0.0110626,-0.00827789,0.00377655,0.0105286,-0.00205994,0.00812531,-0.00686646,-0.0152206,-0.0112534,-0.00682831,-0.0208282,-0.0133514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,8,-0.00282288,-0.0174332,0.0430298,0.022049,-0.0121689,-0.00782013,0.00320435,0.00980377,-0.001297,0.00629425,-0.00736237,-0.014534,-0.0101089,-0.0063324,-0.020256,-0.0150681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,9,0.00038147,-0.0174713,0.0416183,0.020256,-0.0119781,-0.00709534,0.00247955,0.0112534,-0.00183105,0.00629425,-0.00926971,-0.0149536,-0.0104141,-0.00617981,-0.0220108,-0.0111389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,0,0.0116348,-0.0190735,0.0444412,0.0226593,-0.0132751,-0.0075531,0.00331879,0.0105286,-0.00328064,0.00621796,-0.00839233,-0.0146484,-0.0118256,-0.00534058,-0.0214386,-0.0146866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,1,0.0113297,-0.0204849,0.0452805,0.025444,-0.0115204,-0.00663757,0.00335693,0.00957489,-0.00175476,0.00595093,-0.00896454,-0.0160599,-0.0110245,-0.00724792,-0.021019,-0.015831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,2,0.00228882,-0.014801,0.0432968,0.0252151,-0.0120163,-0.00808716,0.00301361,0.0117874,-0.00282288,0.00614166,-0.00812531,-0.0152969,-0.0114822,-0.00598907,-0.0211334,-0.0155258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,3,0.00221252,-0.0125122,0.045433,0.026207,-0.0128555,-0.00701904,0.00301361,0.0111008,-0.00240326,0.00762939,-0.0094986,-0.0150299,-0.0110245,-0.00576019,-0.0202179,-0.0206375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,4,0.00492096,-0.0162888,0.0428391,0.0284195,-0.01297,-0.00694275,0.0018692,0.0122452,-0.0019455,0.00946045,-0.00873566,-0.0159454,-0.0126266,-0.00591278,-0.0190353,-0.0148773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,5,0.00762939,-0.0196838,0.041275,0.0291824,-0.0119019,-0.00701904,0.00244141,0.0101089,-0.0018692,0.00656128,-0.00961304,-0.0148773,-0.0107574,-0.00713348,-0.0208282,-0.0158691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,6,0.00579834,-0.0200272,0.0399017,0.0270844,-0.014534,-0.00705719,0.00320435,0.0116348,-0.00164032,0.00675201,-0.00740051,-0.0148773,-0.0112534,-0.0056839,-0.0211716,-0.0192642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,7,0.00743866,-0.0107574,0.0408554,0.0303268,-0.0114059,-0.00663757,0.00267029,0.0119781,-0.00171661,0.00774384,-0.00938416,-0.0157928,-0.0115204,-0.00671387,-0.0217438,-0.0211716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,8,0.00324249,-0.00541687,0.0377274,0.0317383,-0.0115967,-0.00602722,0.00270844,0.0106049,-0.00160217,0.00740051,-0.0119781,-0.0144577,-0.0111008,-0.00640869,-0.0215149,-0.0175476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,9,-0.00137329,-0.00160217,0.0407791,0.0313568,-0.00759125,-0.00679016,0.00328064,0.013504,-0.00160217,0.00617981,-0.00728607,-0.0153351,-0.0111771,-0.00617981,-0.0214005,-0.0180435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,0,0.000190735,-0.00652313,0.0419235,0.0281143,-0.00888824,-0.0069046,0.00442505,0.00988007,-0.00202179,0.00579834,-0.00968933,-0.0150299,-0.0121307,-0.00606537,-0.0235748,-0.0152588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,1,0.00270844,-0.0109863,0.0380325,0.0238037,-0.0164032,-0.00732422,0.00190735,0.0109482,-0.0019455,0.00526428,-0.0075531,-0.0147629,-0.0114059,-0.00621796,-0.0180054,-0.0151062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,2,0.00484467,-0.0188065,0.0391006,0.0265121,-0.0128174,-0.0082016,0.00267029,0.00995636,-0.0018692,0.00518799,-0.0104141,-0.0159836,-0.0111771,-0.00686646,-0.0214005,-0.0165939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,3,0.00469208,-0.021286,0.0381851,0.0268936,-0.0111008,-0.0075531,0.00141144,0.00980377,-0.00106812,0.00427246,-0.0101089,-0.0161362,-0.0115585,-0.00663757,-0.0224304,-0.016098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,4,0.00595093,-0.0224304,0.0459671,0.0274658,-0.0106812,-0.00747681,0.00324249,0.0123596,-0.00190735,0.00682831,-0.0115585,-0.0152588,-0.0118637,-0.00583649,-0.022583,-0.0165558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,5,-0.00125885,-0.0224686,0.0471497,0.0307465,-0.0123215,-0.00679016,0.00221252,0.00926971,-0.00244141,0.00667572,-0.00900269,-0.0150299,-0.0115585,-0.00713348,-0.0206757,-0.0175095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,6,0.00968933,-0.0122452,0.0452423,0.0301743,-0.0108719,-0.00736237,0.00297546,0.0110626,-0.00259399,0.00679016,-0.00961304,-0.0148392,-0.010643,-0.0063324,-0.0206375,-0.0135422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,7,0.0121689,-0.00816345,0.0383377,0.0272369,-0.0124359,-0.00759125,0.00148773,0.00984192,-0.00228882,0.00411987,-0.0102615,-0.0156784,-0.0113297,-0.00720978,-0.026474,-0.0156784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,8,0.00396729,-0.0087738,0.0378036,0.0268936,-0.0126648,-0.00701904,0.00465393,0.0108719,-0.00144958,0.00541687,-0.00740051,-0.0147247,-0.0115585,-0.00606537,-0.0189972,-0.0168228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,9,0.00389099,-0.00991821,0.0395203,0.02388,-0.0145721,-0.00652313,0.0038147,0.0123978,-0.0012207,0.00671387,-0.00629425,-0.0152588,-0.00957489,-0.00587463,-0.0212479,-0.0173187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,0,0.00774384,-0.0111771,0.0413513,0.0242996,-0.0127411,-0.00640869,0.0044632,0.0108719,-0.00175476,0.0123978,-0.00640869,-0.0146103,-0.0106049,-0.00640869,-0.0188065,-0.0149918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,1,0.00629425,-0.0135803,0.042305,0.0234222,-0.0120926,-0.00808716,0.00225067,0.0119019,-0.00247955,0.00499725,-0.00854492,-0.0152969,-0.00972748,-0.00648499,-0.0223923,-0.01194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
